,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,1000.0,1000,1000,1000,1000,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
unique,,5,2,1,1,,,,,,,,,
top,,BM,mcar,with_extinct,continuous,,,,,,,,,
freq,,200,500,1000,1000,,,,,,,,,
mean,200.5,,,,,0.9200889860854535,0.4110327080881256,0.6518844525506058,0.5960392942922881,0.6513272613404016,0.6155506081957217,0.46076257546956606,0.5090460264459442,0.4905238431668289
std,115.52313878871018,,,,,0.2081842642528814,0.25257221151511144,0.2568841603262874,1.2184075074784428,1.7651300223246111,0.6711559425388759,0.255773342231264,0.24726530967257523,0.3112859804915361
min,2.0,,,,,7.33137435857406e-05,9.460263260594036e-13,0.0004390065469549,0.0006360314494867,0.0169550293929889,0.0219311937946297,6.438731666357275e-06,2.612013326398832e-05,8.696912069298636e-06
25%,101.25,,,,,0.9696084472150528,0.24520624002134497,0.5113307335689692,0.3783403546850325,0.4176022766805969,0.43225544698695456,0.3001071314497461,0.36544013007222437,0.3351298715694574
50%,200.5,,,,,0.999926686256414,0.36915034232977373,0.6605061811101713,0.5189531457672132,0.5579927877594798,0.5798658841354658,0.4397841056867886,0.5086771069908705,0.4749453679804442
75%,299.75,,,,,0.999926686256414,0.5771863119345549,0.7886362196156733,0.7135608428095358,0.7343066188917441,0.7453095132626362,0.6407305074659123,0.6804722583180616,0.6543486839363504
max,399.0,,,,,0.999952874188159,1.4782747453501537,2.6124073384355286,36.60057884076015,55.03765695098281,18.77306497244842,1.4778861340892724,1.3361014835416385,6.251309184782016
