,Unnamed: 0,Ev Model,Missing Type,Tree Type,Variable Type,Signal,phylopars,phylnn_fill_means,linear_eigenvecs,linear_umap,linear_autoencoded,xgb_eigenvecs,xgb_umap,xgb_autoencoded
count,400.0,400,400,400,400,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
unique,,1,2,2,1,,,,,,,,,
top,,BMT,mcar,ultrametric,continuous,,,,,,,,,
freq,,400,200,200,400,,,,,,,,,
mean,199.5,,,,,0.9992054896514468,0.3339041814708035,0.6837903267761715,0.519024331920189,0.5256391059453509,0.5571169103004524,0.40221771539395873,0.4733705692272181,0.43173663892505426
std,115.61430130683084,,,,,0.005087570388814568,0.13521267123313122,0.25529533143222366,0.45930860224232417,0.1928051152748488,0.25793030678911283,0.20084072682506904,0.1672001102094734,0.18127555108050902
min,0.0,,,,,0.932322774983526,0.0975614020393515,0.1519881289472091,0.137298069273683,0.1325023645547134,0.1484554983975373,0.1061146986663676,0.1113933814048589,0.0953521353770214
25%,99.75,,,,,0.9999156269371352,0.24137505833803322,0.512217503061465,0.3692294913667584,0.39563273310775326,0.4063817275520769,0.29612341034874184,0.3682349253396985,0.3142784097011306
50%,199.5,,,,,0.999926686256414,0.3063129623608928,0.6799889707189666,0.4547402174688999,0.495724839832131,0.512085373825522,0.37433755191294654,0.4468689840245875,0.40023376498555785
75%,299.25,,,,,0.9999542343014709,0.38717752963336394,0.7963357386662423,0.5809266363374948,0.6093239136421106,0.6426281041448598,0.46028124024523104,0.5597545154816049,0.5064032922450408
max,399.0,,,,,1.00277267642852,0.9600917425920537,1.9868114867047069,6.7435441071416085,1.5028178952319002,2.5155755121199666,2.863368801873168,1.282872375399943,1.625896674434139
